Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2022-04-20,17045.25,17186.9,16978.95,17136.55,0.0149417473178673,1,0.010490221804211775,17254.96,17513.870000000003,17465.4875,17132.449,-916.8500000000022,45.99656393832057,50.043275637890474,133.98585345054187,0.00991016324989398
2022-04-21,17234.6,17414.7,17215.5,17392.6,-0.0126864298609752,0,0.014941747317867238,17227.420000000002,17457.39,17469.342500000002,17129.975,-564.8000000000029,47.83544018521171,47.34871313221447,116.65842538687639,0.010142017022456566
2022-04-22,17242.75,17315.3,17149.2,17171.95,-0.0126951219867283,0,-0.012686429860975235,17166.68,17393.82,17465.6575,17129.142000000003,-635.7000000000007,44.42837570406454,27.096292785805417,98.7459988666622,0.010513067004526616
2022-04-25,17009.05,17054.3,16888.7,16953.95,0.0145600287838526,1,-0.012695121986728397,17122.739999999998,17325.260000000002,17452.2175,17122.886000000002,-685.5999999999985,36.42941020493197,-6.470091164064797,77.70278086051681,0.010880287334558886
2022-04-26,17121.3,17223.85,17064.45,17200.8,-0.0094414213292403,0,0.014560028783852541,17171.17,17266.905,17454.607500000002,17117.626,-583.5499999999993,32.97387970285156,-13.003069003261771,59.5616108877611,0.011366346080628507
2022-04-27,17073.35,17110.7,16958.45,17038.4,0.0121284862428395,1,-0.009441421329240418,17151.54,17203.25,17445.427499999998,17106.277000000002,-636.5499999999993,32.12201385106211,-30.928301566698792,41.46362839686912,0.011525655991407278
2022-04-28,17189.5,17322.5,17071.05,17245.05,-0.008263240756043,0,0.012128486242839465,17122.03,17174.725000000002,17441.415,17103.683,-285.25,39.29237562331079,-28.13492763130853,27.54391719123359,0.011785393230356307
2022-04-29,17329.25,17377.65,17053.25,17102.55,-0.0019558486892305,0,-0.008263240756043011,17108.15,17137.415,17421.629999999997,17108.878,-373.1000000000022,39.679031328079894,-36.99328221034739,14.636477310917396,0.011664006516296574
2022-05-02,16924.45,17092.25,16917.25,17069.1,-0.0229361829270436,0,-0.0019558486892305993,17131.18,17126.96,17401.8475,17103.211,-104.55000000000291,35.63841535650455,-46.18038870719829,2.47310410729426,0.01166416623270885
2022-05-04,17096.6,17132.85,16623.95,16677.6,0.0003028013623065,1,-0.02293618292704358,17026.54,17098.855,17352.204999999998,17090.319,-281.0500000000029,32.011903688339686,-84.08276116248089,-14.838068946660771,0.012219633184378343
2022-05-05,16854.75,16945.7,16651.85,16682.65,-0.0162683986057371,0,0.0003028013623065373,16955.389999999996,17053.465,17283.667500000003,17077.88,-453.8999999999978,33.90120221070022,-112.41729501021109,-34.35391415937084,0.010819813193490417
2022-05-06,16415.55,16484.2,16340.9,16411.25,-0.0066661588849112,0,-0.016268398605737144,16788.629999999997,16955.33,17206.36,17060.579,-981.3499999999985,31.322383659717772,-154.98574979108162,-58.480281285713,0.01116763096337653
2022-05-09,16227.7,16403.7,16142.1,16301.85,-0.0037909807782552,0,-0.0066661588849112885,16628.489999999998,16868.32,17131.07,17042.483,-870.1000000000004,33.59304426377591,-195.29794940810098,-85.8438149101906,0.011143065388762814
2022-05-10,16248.9,16404.55,16197.3,16240.05,-0.0044919812439,0,-0.0037909807782553484,16462.68,16796.93,17061.094999999998,17025.44,-713.9000000000015,35.64866592107359,-229.58587845952206,-114.5922276200569,0.011078634518801775
2022-05-11,16270.05,16318.75,15992.6,16167.1,-0.0222117757668351,0,-0.004491981243900045,16360.579999999998,16693.56,16980.232500000002,17007.517,-1033.699999999999,29.79175786379838,-259.6526504689318,-143.6043121898319,0.010695363235082737
2022-05-12,16021.1,16041.95,15735.75,15808.0,-0.0016352479757085,0,-0.022211775766835085,16185.65,16570.52,16886.885000000002,16998.718,-1230.4000000000015,18.329535915577395,-308.89638750799713,-176.66272725346494,0.01139030682538238
2022-05-13,15977.0,16083.6,15740.85,15782.15,0.0038112677930446,1,-0.0016352479757085758,16059.829999999998,16424.23,16799.4775,16981.193,-1462.8999999999996,19.877324548094805,-346.0195844758309,-210.53409869793813,0.011403341529336603
2022-05-16,15845.1,15977.95,15739.65,15842.3,0.026321935577536,1,0.003811267793044637,15967.920000000002,16298.204999999998,16717.81,16962.161,-1260.25,24.136246248342246,-366.3631765791142,-241.69991427417335,0.0115731831598402
2022-05-17,15912.6,16284.25,15900.8,16259.3,-0.0011685619922136,0,0.02632193557753615,15971.769999999999,16217.225,16672.092500000002,16955.228,-809.7999999999993,29.70205243187307,-344.861852140617,-262.3323018474621,0.013109297000337363
2022-05-18,16318.15,16399.8,16211.2,16240.3,-0.0265327610943147,0,-0.0011685619922137125,15986.41,16173.495,16636.175,16950.073,-437.2999999999993,31.65961945031711,-325.6017050490191,-274.9861824877735,0.012903647067576771
2022-05-19,15917.4,15984.75,15775.2,15809.4,0.0288910395081407,1,-0.026532761094314794,15986.689999999999,16086.169999999998,16569.8175,16941.354,-873.2500000000018,20.091248098997994,-341.17507464906157,-288.2239609200311,0.013639661432489143
2022-05-20,16043.8,16283.05,16003.85,16266.15,-0.003163010300532,0,0.02889103950814076,16083.49,16071.659999999998,16513.495,16949.414,-145.10000000000036,34.59271266993335,-313.0525001231799,-293.1896687606609,0.014949430817902658
